image_id,filter_method
2393603,influence
2387465,influence
2384866,influence
2395566,influence
1294,influence
2408778,influence
2349204,influence
2364862,influence
2368656,influence
2358149,influence
2341501,influence
2380350,influence
2351813,influence
2341510,influence
2363837,influence
2405222,influence
2410634,influence
2369479,influence
2322480,influence
2385115,influence
2399705,influence
2431,influence
2371507,influence
2315958,influence
2356857,influence
2343545,influence
2357138,influence
2368813,influence
2390849,influence
2345519,influence
2398444,influence
2361365,influence
2376413,influence
2376917,influence
2334291,influence
2395409,influence
2400488,influence
2408915,influence
2399856,influence
2390108,influence
2376257,influence
2386903,influence
2381972,influence
1592147,influence
2401800,influence
2405512,influence
2381578,influence
2364268,influence
2318352,influence
2398389,influence
2406183,influence
2385700,influence
2357996,influence
2390055,influence
2325341,influence
2400748,influence
498132,influence
2323007,influence
2402592,influence
2405810,influence
2372725,influence
2386014,influence
2385166,influence
2388434,influence
2402493,influence
2381255,influence
2385395,influence
2321829,influence
2326521,influence
2380614,influence
2353132,influence
2339403,influence
2386640,influence
2412133,influence
2412608,influence
2400243,influence
2403635,influence
2397568,influence
2369347,influence
2392126,influence
2346380,influence
2378755,influence
2398249,influence
2340062,influence
2361126,influence
2381375,influence
2397805,influence
4852,influence
2383173,influence
2372193,influence
2412117,influence
2351775,influence
2324650,influence
2357895,influence
2395400,influence
2401696,influence
2382057,influence
2348474,influence
2343325,influence
2392434,influence
2342534,influence
2394176,influence
2369193,influence
2409493,influence
2319764,influence
2378048,influence
2335798,influence
2369130,influence
2342527,influence
2384213,influence
3665,influence
2369934,influence
2385305,influence
2402984,influence
2369369,influence
2383254,influence
2343646,influence
2352064,influence
2371865,influence
2398867,influence
2372303,influence
2396239,influence
2367645,influence
2409599,influence
2403534,influence
2378234,influence
2392675,influence
2392083,influence
2350847,influence
2394053,influence
2382135,influence
2347518,influence
2391777,influence
2392854,influence
2355607,influence
2331166,influence
1778,influence
2414564,influence
2317792,influence
2375051,influence
2340216,influence
2317237,influence
2373734,influence
2365281,influence
2409755,influence
2414414,influence
2405577,influence
2387815,influence
2402491,influence
2363101,influence
2387527,influence
2410614,influence
2393724,influence
3175,influence
2316083,influence
2404206,influence
2408947,influence
2347478,influence
2396000,influence
2345060,influence
2365120,influence
2366982,influence
2343814,influence
2404466,influence
2371647,influence
2413539,influence
2357775,influence
2384016,influence
2381982,influence
2410119,influence
2360559,influence
2345570,influence
2393052,influence
2380625,influence
2394118,influence
2349017,influence
2345387,influence
2386576,influence
2377851,influence
2361300,influence
2400959,influence
2409522,influence
2341844,influence
2342604,influence
2384300,influence
2390730,influence
2408821,influence
2342917,influence
2320178,influence
2355483,influence
2334897,influence
2402805,influence
2334576,influence
2411647,influence
2372602,influence
2324657,influence
2359869,influence
2365509,influence
2317596,influence
2319610,influence
2368743,influence
2328241,influence
2381061,influence
2394058,influence
2403624,influence
2386949,influence
2404349,influence
2392565,influence
2320187,influence
2318319,influence
2351725,influence
2355149,influence
2383946,influence
2408381,influence
2359999,influence
2408802,influence
2402931,influence
2378078,influence
2397554,influence
2359968,influence
2395054,influence
285822,influence
2363897,influence
2371487,influence
2359046,influence
713673,influence
2402873,influence
2385264,influence
2336530,influence
2352869,influence
2369340,influence
2392035,influence
2318166,influence
2325348,influence
2404018,influence
2384060,influence
2400901,influence
2350720,influence
2390173,influence
2378512,influence
2361963,influence
713472,influence
2403017,influence
2388902,influence
2344260,influence
2392422,influence
2391305,influence
2381355,influence
2398780,influence
2390829,influence
2330091,influence
2350702,influence
2386608,influence
2352251,influence
2400687,influence
2380813,influence
2354385,influence
2335311,influence
2411668,influence
2345006,influence
2358510,influence
2377985,influence
150490,influence
150452,influence
2390471,influence
2354098,influence
2410259,influence
2168,influence
2352722,influence
2354802,influence
2343016,influence
2342050,influence
2346956,influence
2400249,influence
2409779,influence
2335005,influence
2407020,influence
2371682,influence
2349449,influence
2412622,influence
2399865,influence
2401161,influence
2410594,influence
508,influence
2363018,influence
2354377,influence
2336813,influence
3477,influence
2364382,influence
2414926,influence
2386121,influence
286069,influence
2404750,influence
2395661,influence
2389494,influence
2170,influence
2344374,influence
2383712,influence
2370507,influence
2360629,influence
2345002,influence
1159260,influence
2396301,influence
2392128,influence
2364191,influence
2337881,influence
2410043,influence
2371073,influence
2388030,influence
2400696,influence
2391275,influence
2366562,influence
2343078,influence
2390435,influence
2351985,influence
2348382,influence
2414859,influence
2388442,influence
2378719,influence
2374977,influence
2372788,influence
2399985,influence
2376318,influence
2348722,influence
2390795,influence
2378810,influence
2350611,influence
2398851,influence
2351394,influence
2347094,influence
2343596,influence
2504,influence
2322220,influence
2408800,influence
2380081,influence
2385128,influence
2323202,influence
2349701,influence
2324489,influence
2403383,influence
2353129,influence
2320623,influence
2325748,influence
2331683,influence
2394980,influence
2366363,influence
2362339,influence
2380265,influence
2378767,influence
2408706,influence
2341732,influence
2342418,influence
2380940,influence
2382396,influence
2379517,influence
2394245,influence
2396444,influence
2352908,influence
2352385,influence
2375426,influence
2364039,influence
2398121,influence
2366216,influence
2327796,influence
498019,influence
2395846,influence
2402277,influence
2406716,influence
2350254,influence
2350359,influence
2396077,influence
2390798,influence
2380039,influence
2318963,influence
2370948,influence
2344501,influence
2384594,influence
2388340,influence
2413238,influence
2360748,influence
2383504,influence
2336614,influence
2324436,influence
2379678,influence
2356281,influence
2396871,influence
2318892,influence
2352698,influence
2408664,influence
498207,influence
2408923,influence
2378706,influence
2322180,influence
2369548,influence
2399197,influence
2397214,influence
2392829,influence
2383872,influence
1454,influence
1592769,influence
285616,influence
2339126,influence
2401203,influence
2325255,influence
2352273,influence
2341565,influence
2401717,influence
2382750,influence
1591943,influence
2377998,influence
2321761,influence
2319490,influence
2369197,influence
2368955,influence
2360064,influence
2381839,influence
2326240,influence
2381595,influence
2358496,influence
2396202,influence
2417501,influence
2356968,influence
2408469,influence
2366338,influence
4360,influence
2316559,influence
2374729,influence
2411207,influence
2373990,influence
2369505,influence
2339617,influence
2402998,influence
2344514,influence
2388265,influence
3479,influence
2357707,influence
2388301,influence
3601,influence
2412335,influence
2334660,influence
2362623,influence
2355249,influence
2402385,influence
2356432,influence
2405805,influence
3700,influence
2406860,influence
2320061,influence
2390177,influence
2367501,influence
2354160,influence
285749,influence
2410734,influence
2371855,influence
2349128,influence
2327139,influence
2375340,influence
2353453,influence
2342927,influence
2317013,influence
2403391,influence
2383653,influence
2357079,influence
2396176,influence
1614,influence
2395795,influence
2408142,influence
2316584,influence
2391922,influence
2389117,influence
2397474,influence
2381624,influence
2395119,influence
2371840,influence
2390624,influence
2340377,influence
2376868,influence
2351404,influence
2375741,influence
2353818,influence
2386040,influence
2354774,influence
2292,influence
2315372,influence
2367829,influence
2323271,influence
2342911,influence
2376726,influence
2407890,influence
2409155,influence
2348072,influence
2403915,influence
2389769,influence
2410999,influence
2342060,influence
2346854,influence
2386259,influence
2318246,influence
2397815,influence
2402536,influence
2403330,influence
2316773,influence
2392029,influence
2376538,influence
1592977,influence
2355303,influence
2385451,influence
2409303,influence
2388801,influence
2386924,influence
2372121,influence
2335002,influence
2336747,influence
2404153,influence
2391954,influence
2379812,influence
2398825,influence
2364168,influence
2362260,influence
2379718,influence
1593144,influence
2341466,influence
2409649,influence
2395254,influence
2386663,influence
2317030,influence
2358119,influence
2335108,influence
2404804,influence
2383202,influence
2383832,influence
2358004,influence
2361213,influence
2374874,influence
2326294,influence
2386942,influence
2348685,influence
2339812,influence
2375373,influence
2319797,influence
2369424,influence
2399491,influence
2386036,influence
2334407,influence
2378282,influence
2393604,influence
2363064,influence
2361522,influence
2400723,influence
498002,influence
2354239,influence
2404569,influence
2400846,influence
2352098,influence
2398763,influence
2396227,influence
2357778,influence
2319998,influence
2389555,influence
2346443,influence
4311,influence
2347314,influence
2378590,influence
2373717,influence
2373650,influence
2364886,influence
2396113,influence
2346561,influence
2336267,influence
2402454,influence
2385405,influence
2343086,influence
2354325,influence
2357655,influence
2321128,influence
2341356,influence
2409619,influence
2403573,influence
2349585,influence
2408319,influence
2318420,influence
2342517,influence
2342799,influence
2403071,influence
2379084,influence
2388562,influence
2358791,influence
2318501,influence
2403717,influence
2407505,influence
2364710,influence
2383870,influence
2334002,influence
2348335,influence
2383149,influence
2376406,influence
2385302,influence
2360837,influence
2319252,influence
2381729,influence
2385903,influence
2398882,influence
2382434,influence
2390856,influence
2385844,influence
2375859,influence
2408233,influence
2402642,influence
2411502,influence
2384324,influence
2412998,influence
2356793,influence
2396053,influence
2404583,influence
2412510,influence
2372606,influence
2334681,influence
2343715,influence
2324752,influence
2390956,influence
2380043,influence
2410923,influence
2362876,influence
2366467,influence
2359803,influence
2321827,influence
2346399,influence
2352964,influence
2380760,influence
2378649,influence
713813,influence
2378347,influence
2352527,influence
2348326,influence
2369974,influence
2387316,influence
2343271,influence
2354211,influence
2391748,influence
2402692,influence
2354226,influence
2413212,influence
3173,influence
2376215,influence
2344795,influence
2386667,influence
2348554,influence
2347402,influence
2382025,influence
2386094,influence
2378257,influence
2384980,influence
2392334,influence
2384314,influence
2352587,influence
2345022,influence
2346570,influence
2390714,influence
2383736,influence
2401513,influence
2402667,influence
2394206,influence
2402653,influence
2316627,influence
2346080,influence
2379110,influence
2368985,influence
2367039,influence
2409965,influence
2368853,influence
2390149,influence
2344476,influence
2403864,influence
2405882,influence
2359719,influence
2368465,influence
2321376,influence
2394205,influence
2404447,influence
3154,influence
2336038,influence
2362926,influence
2391675,influence
2371312,influence
2404600,influence
2349413,influence
2393533,influence
2354192,influence
2384239,influence
2375096,influence
2397940,influence
2406508,influence
2322516,influence
2333649,influence
2411179,influence
2353355,influence
2324541,influence
2409689,influence
2408030,influence
2413026,influence
2318242,influence
2370834,influence
2367096,influence
2376966,influence
2400206,influence
2377309,influence
2351899,influence
2398791,influence
2362873,influence
2372551,influence
2351218,influence
2410466,influence
2346876,influence
2375882,influence
2414925,influence
2344605,influence
2362754,influence
2395086,influence
2322354,influence
2403543,influence
2380702,influence
2386292,influence
2342518,influence
2328902,influence
2384477,influence
2401626,influence
2398516,influence
2368430,influence
2333576,influence
2326674,influence
2342925,influence
2402007,influence
2359935,influence
2369390,influence
2404319,influence
2387494,influence
2386422,influence
2412118,influence
2350135,influence
2396717,influence
2349717,influence
2319027,influence
2327147,influence
2320451,influence
2318035,influence
2379029,influence
2364811,influence
2380032,influence
2416198,influence
1510,influence
2376885,influence
2390873,influence
2317281,influence
150406,influence
2368692,influence
2326603,influence
2365296,influence
2356942,influence
2406925,influence
2358577,influence
436,influence
2388276,influence
2359043,influence
2384857,influence
2320217,influence
2393443,influence
2386693,influence
2340386,influence
2410411,influence
2356208,influence
2392445,influence
2394781,influence
2396641,influence
2380485,influence
2368105,influence
2346771,influence
2376233,influence
2380769,influence
2397540,influence
2407546,influence
2334350,influence
2340433,influence
2404656,influence
2345393,influence
2412854,influence
2342473,influence
2407575,influence
2382175,influence
2359087,influence
2389210,influence
2390708,influence
2360602,influence
2410490,influence
2397109,influence
2391663,influence
2346970,influence
2344502,influence
2367285,influence
633,influence
2401399,influence
2390089,influence
2375044,influence
2362838,influence
2380292,influence
2388988,influence
498069,influence
2354108,influence
2355636,influence
2317414,influence
2349543,influence
2373933,influence
2359996,influence
2324373,influence
2404328,influence
1592170,influence
2396801,influence
2350112,influence
2395162,influence
3860,influence
2358409,influence
2401098,influence
2364152,influence
2357545,influence
2344701,influence
2315522,influence
2317284,influence
2377113,influence
2376232,influence
2346597,influence
2404113,influence
2345339,influence
3457,influence
2329000,influence
2390398,influence
2317100,influence
2345774,influence
2316369,influence
2366422,influence
2369418,influence
2369531,influence
2321029,influence
2317358,influence
2325679,influence
2323617,influence
2322663,influence
2378648,influence
2359516,influence
2336286,influence
2315718,influence
2358617,influence
2384278,influence
2398873,influence
2359071,influence
2353599,influence
2335010,influence
2362483,influence
2380763,influence
2410592,influence
2388554,influence
2348187,influence
2370700,influence
2380717,influence
2348611,influence
2317583,influence
2368793,influence
618,influence
2342919,influence
2383191,influence
2361664,influence
1160123,influence
2388093,influence
2372593,influence
2344393,influence
2402008,influence
2352810,influence
2410826,influence
2409034,influence
2380094,influence
2344682,influence
2407422,influence
2352725,influence
2362299,influence
2360870,influence
2370029,influence
2366401,influence
2345351,influence
2324542,influence
2362253,influence
2380767,influence
2411735,influence
2376403,influence
2379305,influence
2404,influence
2323268,influence
2409213,influence
2322592,influence
2326848,influence
2317451,influence
2346875,influence
2353705,influence
2404383,influence
2412446,influence
2338365,influence
2343868,influence
2348724,influence
2361786,influence
713408,influence
2347445,influence
2351867,influence
2352395,influence
2406500,influence
2318163,influence
2353587,influence
2398464,influence
2368836,influence
2342346,influence
2318345,influence
2328910,influence
2408201,influence
2411092,influence
2340467,influence
498138,influence
2388350,influence
2397756,influence
2352306,influence
2409815,influence
2355286,influence
2320586,influence
2396059,influence
2318193,influence
2328327,influence
2326555,influence
4276,influence
2376668,influence
2374240,influence
2357835,influence
2409802,influence
2380850,influence
2349737,influence
2402660,influence
2324451,influence
2410005,influence
2368600,influence
2410247,influence
2391217,influence
2408711,influence
2382209,influence
2336009,influence
2404095,influence
2366357,influence
2401046,influence
2354680,influence
2400477,influence
2320377,influence
2340448,influence
2338978,influence
2327468,influence
1592325,influence
2348672,influence
2378560,influence
2376587,influence
2355716,influence
2342007,influence
2404020,influence
2382988,influence
2325751,influence
285901,influence
3209,influence
2354675,influence
2357416,influence
2352356,influence
2413085,influence
2361431,influence
2375915,influence
498391,influence
2369716,influence
2358947,influence
2375022,influence
2355298,influence
2321165,influence
2395968,influence
2410777,influence
2395971,influence
1592541,influence
2320574,influence
2354718,influence
2358223,influence
2369123,influence
2369182,influence
2397826,influence
2402759,influence
2354393,influence
1159928,influence
1715,influence
1707,influence
2360324,influence
2417,influence
2318495,influence
2328198,influence
2345191,influence
2350502,influence
2323956,influence
2371458,influence
2409435,influence
2358219,influence
2363239,influence
2317175,influence
2406194,influence
2411646,influence
2363792,influence
2347507,influence
2346062,influence
2320626,influence
2404111,influence
2347793,influence
4012,influence
2371274,influence
1292,influence
2325718,influence
2361056,influence
2416829,influence
2392671,influence
2343496,influence
4398,influence
2356593,influence
1592166,influence
2356035,influence
2415717,influence
2385156,influence
2403666,influence
2413247,influence
2347554,influence
2353914,influence
2369630,influence
2363241,influence
